[Epoch 0]	Learning rate: 1.00e-4
[33600/80000]	[MSE: 0.0000497472]	30.6+6.4s
[35200/80000]	[MSE: 0.0000496566]	30.3+6.4s
[36800/80000]	[MSE: 0.0000497467]	30.3+6.4s
[38400/80000]	[MSE: 0.0000497725]	30.4+6.3s
[40000/80000]	[MSE: 0.0000497724]	30.3+6.3s
[41600/80000]	[MSE: 0.0000498440]	30.2+6.3s
[43200/80000]	[MSE: 0.0000497723]	30.3+6.4s
[44800/80000]	[MSE: 0.0000497623]	31.3+6.4s
[46400/80000]	[MSE: 0.0000497795]	31.5+6.5s
[48000/80000]	[MSE: 0.0000497530]	31.9+6.4s
[49600/80000]	[MSE: 0.0000497403]	31.7+6.5s
[51200/80000]	[MSE: 0.0000497468]	31.7+6.6s
[52800/80000]	[MSE: 0.0000496485]	31.7+6.5s
[54400/80000]	[MSE: 0.0000495925]	31.8+6.5s
[56000/80000]	[MSE: 0.0000496026]	31.3+6.5s
[57600/80000]	[MSE: 0.0000496099]	30.7+6.5s
[59200/80000]	[MSE: 0.0000496434]	31.1+6.5s
[60800/80000]	[MSE: 0.0000496551]	30.8+6.6s
[62400/80000]	[MSE: 0.0000496497]	30.8+6.6s
[64000/80000]	[MSE: 0.0000497010]	31.3+6.6s
[65600/80000]	[MSE: 0.0000497254]	31.3+6.6s
[67200/80000]	[MSE: 0.0000497123]	31.5+6.7s
[68800/80000]	[MSE: 0.0000496426]	32.5+6.5s
[70400/80000]	[MSE: 0.0000496391]	32.2+6.5s
[72000/80000]	[MSE: 0.0000496290]	32.2+6.5s
[73600/80000]	[MSE: 0.0000496587]	32.1+6.6s
[75200/80000]	[MSE: 0.0000496151]	31.9+6.5s
[76800/80000]	[MSE: 0.0000496155]	31.8+6.4s
[78400/80000]	[MSE: 0.0000496145]	31.7+6.3s
[80000/80000]	[MSE: 0.0000496005]	30.5+6.4s

Evaluation:
[DenoiseColorSet68 x1]	PSNR: 29.944 (Best: 29.944 @self.epoch 5)
Forward: 197.71s

Saving...
Total: 198.01s

[Epoch 5]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0000497366]	31.7+6.7s
[3200/80000]	[MSE: 0.0000488090]	31.8+6.4s
[4800/80000]	[MSE: 0.0000493369]	31.8+6.4s
[6400/80000]	[MSE: 0.0000493444]	31.7+6.4s
[8000/80000]	[MSE: 0.0000491084]	31.8+6.5s
[9600/80000]	[MSE: 0.0000491014]	30.6+6.5s
[11200/80000]	[MSE: 0.0000489556]	32.0+6.6s
[12800/80000]	[MSE: 0.0000491239]	32.1+6.6s
[14400/80000]	[MSE: 0.0000490451]	32.1+6.5s
[16000/80000]	[MSE: 0.0000489184]	32.2+6.7s
[17600/80000]	[MSE: 0.0000489805]	31.9+6.6s
[19200/80000]	[MSE: 0.0000489185]	31.4+6.6s
[20800/80000]	[MSE: 0.0000488981]	30.7+6.7s
[22400/80000]	[MSE: 0.0000488260]	30.4+6.5s
[24000/80000]	[MSE: 0.0000488782]	30.3+6.5s
[25600/80000]	[MSE: 0.0000488747]	30.3+6.5s
[27200/80000]	[MSE: 0.0000489931]	30.6+6.5s
[28800/80000]	[MSE: 0.0000489878]	30.4+6.5s
[30400/80000]	[MSE: 0.0000490682]	30.4+6.5s
[32000/80000]	[MSE: 0.0000490374]	30.3+6.5s
[33600/80000]	[MSE: 0.0000492001]	30.3+6.4s
[35200/80000]	[MSE: 0.0000491879]	30.3+6.4s
[36800/80000]	[MSE: 0.0000491485]	30.3+6.4s
[38400/80000]	[MSE: 0.0000491356]	30.5+6.4s
[40000/80000]	[MSE: 0.0000490952]	31.4+6.4s
[41600/80000]	[MSE: 0.0000490718]	31.7+6.4s
[43200/80000]	[MSE: 0.0000490686]	31.7+6.3s
[44800/80000]	[MSE: 0.0000490533]	31.4+6.5s
[46400/80000]	[MSE: 0.0000490230]	29.9+6.5s
[48000/80000]	[MSE: 0.0000490908]	30.5+6.6s
[49600/80000]	[MSE: 0.0000490480]	30.6+6.6s
[51200/80000]	[MSE: 0.0000489993]	30.8+6.6s
[52800/80000]	[MSE: 0.0000490010]	30.7+6.6s
[54400/80000]	[MSE: 0.0000489811]	30.9+6.5s
[56000/80000]	[MSE: 0.0000489756]	30.8+6.6s
[57600/80000]	[MSE: 0.0000489778]	31.5+6.7s
[59200/80000]	[MSE: 0.0000489822]	31.4+6.6s
[60800/80000]	[MSE: 0.0000490194]	32.2+6.5s
[62400/80000]	[MSE: 0.0000489980]	31.2+6.4s
[64000/80000]	[MSE: 0.0000489621]	31.9+6.3s
[65600/80000]	[MSE: 0.0000489641]	30.4+6.3s
[67200/80000]	[MSE: 0.0000489214]	30.2+6.3s
[68800/80000]	[MSE: 0.0000488833]	30.4+6.3s
[70400/80000]	[MSE: 0.0000488622]	30.2+6.4s
[72000/80000]	[MSE: 0.0000488444]	31.6+6.4s
[73600/80000]	[MSE: 0.0000488713]	31.8+6.4s
[75200/80000]	[MSE: 0.0000488729]	31.8+6.3s
[76800/80000]	[MSE: 0.0000488492]	31.7+6.3s
[78400/80000]	[MSE: 0.0000488565]	31.7+6.3s
[80000/80000]	[MSE: 0.0000488269]	31.7+6.4s

Evaluation:
[DenoiseColorSet68 x1]	PSNR: 30.039 (Best: 30.039 @self.epoch 6)
Forward: 201.62s

Saving...
Total: 201.90s

[Epoch 6]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0000466010]	32.0+6.6s
[3200/80000]	[MSE: 0.0000479549]	32.2+6.5s
[4800/80000]	[MSE: 0.0000478258]	32.4+6.4s
[6400/80000]	[MSE: 0.0000482535]	32.2+6.5s
[8000/80000]	[MSE: 0.0000482620]	31.8+6.5s
[9600/80000]	[MSE: 0.0000483021]	32.0+6.5s
[11200/80000]	[MSE: 0.0000483543]	31.2+6.4s
[12800/80000]	[MSE: 0.0000484219]	31.9+6.4s
[14400/80000]	[MSE: 0.0000484536]	31.8+6.3s
[16000/80000]	[MSE: 0.0000484658]	31.9+6.4s
[17600/80000]	[MSE: 0.0000486403]	31.9+6.4s
[19200/80000]	[MSE: 0.0000486130]	31.7+6.4s
[20800/80000]	[MSE: 0.0000484425]	30.9+6.4s
[22400/80000]	[MSE: 0.0000483089]	30.2+6.4s
[24000/80000]	[MSE: 0.0000482363]	30.1+6.5s
[25600/80000]	[MSE: 0.0000482027]	30.2+6.3s
[27200/80000]	[MSE: 0.0000482331]	30.2+6.2s
[28800/80000]	[MSE: 0.0000482948]	30.1+6.3s
[30400/80000]	[MSE: 0.0000482837]	30.3+6.4s
[32000/80000]	[MSE: 0.0000483122]	31.4+6.3s
[33600/80000]	[MSE: 0.0000484042]	31.8+6.2s
[35200/80000]	[MSE: 0.0000484198]	32.0+6.3s
[36800/80000]	[MSE: 0.0000483553]	31.3+6.5s
[38400/80000]	[MSE: 0.0000483368]	30.8+6.5s
[40000/80000]	[MSE: 0.0000482917]	30.7+6.5s
[41600/80000]	[MSE: 0.0000482693]	30.8+6.4s
[43200/80000]	[MSE: 0.0000483171]	30.6+6.5s
[44800/80000]	[MSE: 0.0000482979]	30.5+6.5s
[46400/80000]	[MSE: 0.0000483075]	30.7+6.4s
[48000/80000]	[MSE: 0.0000482926]	30.8+6.5s
[49600/80000]	[MSE: 0.0000483124]	30.8+6.6s
[51200/80000]	[MSE: 0.0000483543]	30.3+6.5s
[52800/80000]	[MSE: 0.0000483321]	30.3+6.4s
[54400/80000]	[MSE: 0.0000483534]	30.4+6.4s
[56000/80000]	[MSE: 0.0000483504]	30.3+6.4s
[57600/80000]	[MSE: 0.0000483143]	30.3+6.3s
[59200/80000]	[MSE: 0.0000482833]	30.4+6.3s
[60800/80000]	[MSE: 0.0000483144]	30.4+6.4s
[62400/80000]	[MSE: 0.0000483298]	30.5+6.4s
[64000/80000]	[MSE: 0.0000483342]	30.1+6.5s
[65600/80000]	[MSE: 0.0000483870]	30.1+6.3s
[67200/80000]	[MSE: 0.0000483911]	30.2+6.3s
[68800/80000]	[MSE: 0.0000483322]	31.8+6.3s
[70400/80000]	[MSE: 0.0000483460]	31.9+6.3s
[72000/80000]	[MSE: 0.0000483481]	31.8+6.3s
[73600/80000]	[MSE: 0.0000482933]	31.7+6.3s
[75200/80000]	[MSE: 0.0000482328]	30.5+6.5s
[76800/80000]	[MSE: 0.0000482449]	30.6+6.5s
[78400/80000]	[MSE: 0.0000482491]	30.6+6.5s
